koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition
2.1713484,2.0172196,656.8860989,5.8181633,3127.2040524,22601.9485814,10249.0,4.19,2.16986,FALSE POSITIVE
1.8675574,1.408,1500.0,23.7529,2037.0,2860.61,8924.0,,5.73,FALSE POSITIVE
2.74323,3.167,383.41,,1631.0,1177.36,5388.5,4.15,,FALSE POSITIVE
3.5730141,3.37,755.0,11.3113,4260.0,54679.3,9219.0,4.14,2.15,FALSE POSITIVE
4.5505945,2.654,3731.0,7.10841,1257.0,414.775,5613.0,,1.09,FALSE POSITIVE
2.5047918,4.3797563,2270.5402194,8.6950898,1649.8220699,1750.932635,6616.0,,1.53429,FALSE POSITIVE
2.0483755,2.767,483.0,3.19621,,5644.4,6858.5,4.2,1.57,FALSE POSITIVE
0.6808702,2.4634563,1507.8006889,5.9115908,4382.0266062,87140.6995884,9438.0,,1.0,FALSE POSITIVE
5.4255548,3.9637474,14939.6342222,,1037.2753045,273.5880696,8868.7,,,FALSE POSITIVE
1.4095184,0.9484999,2841.5103258,,1625.6180218,1650.422071,9307.0,,,FALSE POSITIVE
1.3730466,2.5708515,1301.5065338,42.1479417,1912.3318636,3160.6328329,4897.0,,6.7996101,FALSE POSITIVE
12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0,4.31,1.53641,FALSE POSITIVE
1.10422,2.37,14177.7,21.0448,3926.0,39459.3,6995.2,4.07,1.61,FALSE POSITIVE
4.95912,2.509,7440.0,22.9123,1419.0,673.55,5889.0,3.86,2.0,FALSE POSITIVE
3.28892,3.793,10518.9,,3661.0,29832.6,8734.2,4.1,,FALSE POSITIVE
1.90879,1.909,618.482,3.34688,1561.0,985.807,6022.6,4.52,1.22,FALSE POSITIVE
1.3214483,3.435,2180.0,21.8839,3827.0,35623.2,5050.8,3.56,2.99,FALSE POSITIVE
18.0157,2.524,610.0,21.644,463.0,7.64364,4709.0,,7.61,FALSE POSITIVE
14.2628757,6.9350494,913.2067174,2.4765813,980.3628831,153.2069421,5690.0,4.58,0.853898,FALSE POSITIVE
1.01606,2.843,240.0,1.20704,2023.0,2784.04,4634.0,4.64,0.68,FALSE POSITIVE
36.22214,5.107,7170.0,,,,,,,FALSE POSITIVE
12.1246519,4.612,7279.0,17.6729,1057.0,207.32,4807.6,4.17,1.07,FALSE POSITIVE
5.652623,3.434,1250.0,8.94354,2011.0,2717.06,6415.4,3.98,1.92,FALSE POSITIVE
29.0160175,5.345,1389.0,6.77406,,33.2234,6113.1,,2.01,FALSE POSITIVE
3.6404389,2.5339234,476.3077321,3.7025342,2783.098027,9941.2265514,9810.0,4.43,1.60776,FALSE POSITIVE
